sameersbn/mysql rule error: configuration thread_stack should >= key_buffer_size, but not.
sameersbn/mysql rule error: configuration query_cache_limit should >= key_buffer_size, but not.
sameersbn/mysql rule error: configuration thread_stack should >= max_allowed_packet, but not.
sameersbn/mysql rule error: configuration query_cache_limit should >= max_allowed_packet, but not.
sameersbn/mysql rule error: configuration thread_stack should >= query_cache_size, but not.
sameersbn/mysql rule error: configuration query_cache_limit should >= query_cache_size, but not.
sameersbn/mysql rule error: configuration key_buffer_size should >= max_binlog_size, but not.
sameersbn/mysql rule error: configuration max_allowed_packet should >= max_binlog_size, but not.
sameersbn/mysql rule error: configuration thread_stack should >= max_binlog_size, but not.
sameersbn/mysql rule error: configuration query_cache_limit should >= max_binlog_size, but not.
sameersbn/mysql rule error: configuration query_cache_size should >= max_binlog_size, but not.
tutum/lamp rule error: configuration thread_stack should >= max_allowed_packet, but not.
tutum/lamp rule error: configuration query_cache_limit should >= max_allowed_packet, but not.
tutum/lamp rule error: configuration thread_stack should >= query_cache_size, but not.
tutum/lamp rule error: configuration query_cache_limit should >= query_cache_size, but not.
tutum/lamp rule error: configuration max_allowed_packet should >= max_binlog_size, but not.
tutum/lamp rule error: configuration thread_stack should >= max_binlog_size, but not.
tutum/lamp rule error: configuration query_cache_limit should >= max_binlog_size, but not.
tutum/lamp rule error: configuration query_cache_size should >= max_binlog_size, but not.
tutum/lamp rule error: configuration key_buffer should >= max_binlog_size, but not.
tutum/lamp rule error: configuration thread_stack should >= key_buffer, but not.
tutum/lamp rule error: configuration query_cache_limit should >= key_buffer, but not.
