privatebin/nginx-fpm-alpine type error: configuration session.use_strict_mode should be Number, not Boolean
privatebin/nginx-fpm-alpine type error: configuration opcache.enable_cli should be Number, not Boolean
privatebin/nginx-fpm-alpine type error: configuration opcache.validate_timestamps should be Number, not Boolean
privatebin/nginx-fpm-alpine value error: the value of clear_env should be in ['no']. current value is On
privatebin/nginx-fpm-alpine rule error: configuration short_open_tag should = clear_env, but not.
privatebin/nginx-fpm-alpine rule error: configuration engine should != clear_env, but not.
privatebin/nginx-fpm-alpine rule error: configuration zlib.output_compression should = clear_env, but not.
privatebin/nginx-fpm-alpine rule error: configuration implicit_flush should = clear_env, but not.
privatebin/nginx-fpm-alpine rule error: configuration display_startup_errors should = clear_env, but not.
privatebin/nginx-fpm-alpine rule error: configuration ignore_repeated_errors should = clear_env, but not.
privatebin/nginx-fpm-alpine rule error: configuration ignore_repeated_source should = clear_env, but not.
privatebin/nginx-fpm-alpine rule error: configuration report_memleaks should != clear_env, but not.
privatebin/nginx-fpm-alpine rule error: configuration html_errors should != clear_env, but not.
privatebin/nginx-fpm-alpine rule error: configuration register_argc_argv should = clear_env, but not.
privatebin/nginx-fpm-alpine rule error: configuration auto_globals_jit should != clear_env, but not.
privatebin/nginx-fpm-alpine rule error: configuration enable_dl should = clear_env, but not.
privatebin/nginx-fpm-alpine rule error: configuration file_uploads should != clear_env, but not.
privatebin/nginx-fpm-alpine rule error: configuration allow_url_include should = clear_env, but not.
privatebin/nginx-fpm-alpine rule error: configuration cli_server.color should != clear_env, but not.
privatebin/nginx-fpm-alpine rule error: configuration odbc.allow_persistent should != clear_env, but not.
privatebin/nginx-fpm-alpine rule error: configuration odbc.check_persistent should != clear_env, but not.
privatebin/nginx-fpm-alpine rule error: configuration mysqli.allow_persistent should != clear_env, but not.
privatebin/nginx-fpm-alpine rule error: configuration mysqli.reconnect should = clear_env, but not.
privatebin/nginx-fpm-alpine rule error: configuration mysqlnd.collect_statistics should != clear_env, but not.
privatebin/nginx-fpm-alpine rule error: configuration mysqlnd.collect_memory_statistics should = clear_env, but not.
privatebin/nginx-fpm-alpine rule error: configuration pgsql.allow_persistent should != clear_env, but not.
privatebin/nginx-fpm-alpine rule error: configuration pgsql.auto_reset_persistent should = clear_env, but not.
privatebin/nginx-fpm-alpine rule error: configuration tidy.clean_output should = clear_env, but not.
privatebin/nginx-fpm-alpine rule error: configuration clear_env should = display_startup_errors, but not.
privatebin/nginx-fpm-alpine rule error: configuration clear_env should != engine, but not.
privatebin/nginx-fpm-alpine rule error: configuration clear_env should = short_open_tag, but not.
privatebin/nginx-fpm-alpine rule error: configuration clear_env should = zlib.output_compression, but not.
privatebin/nginx-fpm-alpine rule error: configuration clear_env should = implicit_flush, but not.
privatebin/nginx-fpm-alpine rule error: configuration clear_env should = ignore_repeated_errors, but not.
privatebin/nginx-fpm-alpine rule error: configuration clear_env should = ignore_repeated_source, but not.
privatebin/nginx-fpm-alpine rule error: configuration clear_env should != report_memleaks, but not.
privatebin/nginx-fpm-alpine rule error: configuration clear_env should = register_argc_argv, but not.
privatebin/nginx-fpm-alpine rule error: configuration clear_env should != auto_globals_jit, but not.
privatebin/nginx-fpm-alpine rule error: configuration clear_env should = enable_dl, but not.
privatebin/nginx-fpm-alpine rule error: configuration clear_env should != file_uploads, but not.
privatebin/nginx-fpm-alpine rule error: configuration clear_env should = allow_url_include, but not.
privatebin/nginx-fpm-alpine rule error: configuration clear_env should != cli_server.color, but not.
privatebin/nginx-fpm-alpine rule error: configuration clear_env should != odbc.allow_persistent, but not.
privatebin/nginx-fpm-alpine rule error: configuration clear_env should != odbc.check_persistent, but not.
privatebin/nginx-fpm-alpine rule error: configuration clear_env should != mysqli.allow_persistent, but not.
privatebin/nginx-fpm-alpine rule error: configuration clear_env should = mysqli.reconnect, but not.
privatebin/nginx-fpm-alpine rule error: configuration clear_env should != mysqlnd.collect_statistics, but not.
privatebin/nginx-fpm-alpine rule error: configuration clear_env should = mysqlnd.collect_memory_statistics, but not.
privatebin/nginx-fpm-alpine rule error: configuration clear_env should != pgsql.allow_persistent, but not.
privatebin/nginx-fpm-alpine rule error: configuration clear_env should = pgsql.auto_reset_persistent, but not.
privatebin/nginx-fpm-alpine rule error: configuration clear_env should = tidy.clean_output, but not.
privatebin/nginx-fpm-alpine rule error: configuration clear_env should != html_errors, but not.
